,District_Number,Area,Belongs_To,Eligible_First_Votes_Final,Voters_First_Votes_Final,Invalid_First_Votes_Final,Valid_First_Votes_Final,CDU_First_Votes_Final,SPD_First_Votes_Final,AfD_First_Votes_Final,FDP_First_Votes_Final,Left_First_Votes_Final,Greens_First_Votes_Final,CSU_First_Votes_Final,FW_First_Votes_Final
0,1,Flensburg – Schleswig,1,231536.0,180112.0,1537.0,178575.0,23.363292734145315,21.798684026319474,5.469970600587988,6.88730225395492,3.6645667086658262,28.12879742405152,,1.3014139717205655
1,2,Nordfriesland – Dithmarschen Nord,1,188267.0,145387.0,1337.0,144050.0,30.367927802846236,27.786185352308223,5.743838944810829,9.68969107948629,2.818465810482471,14.308226310308921,,1.0482471364109684
2,3,Steinburg – Dithmarschen Süd,1,176899.0,136299.0,1319.0,134980.0,29.212475922358866,29.173951696547633,7.726329826640983,14.309527337383315,3.2145503037487035,12.361831382427026,,1.9010223736849903
3,4,Rendsburg-Eckernförde,1,202226.0,162060.0,1410.0,160650.0,29.6844070961718,30.79614067849362,6.349206349206349,8.031746031746032,2.7488328664799253,14.834733893557422,,1.0276999688764394
4,5,Kiel,1,202482.0,155986.0,1170.0,154816.0,18.354692021496486,29.524726126498553,4.61644791236048,7.392646754857379,4.699126705250103,28.118540719305496,,0.7389417114510128
5,6,Plön – Neumünster,1,174908.0,133721.0,1759.0,131962.0,27.939861475273187,31.446173898546554,7.126293933101954,9.411800366772253,2.8174777587487307,15.716645701035144,,1.8080962701383732
6,7,Pinneberg,1,238388.0,191512.0,1443.0,190069.0,26.15365998663643,31.19814383197681,6.3876802634832615,10.910248383481788,2.977339808174926,16.89333873488049,,1.2521768410419374
7,8,Segeberg – Stormarn-Mitte,1,249202.0,199618.0,1700.0,197918.0,27.923180306995825,32.017805353732356,7.093846946715307,10.395719439363777,3.1336209945533,13.697086672258207,,2.3595630513647063
8,9,Ostholstein – Stormarn-Nord,1,183138.0,143092.0,1301.0,141791.0,30.319977995782526,33.65093694240114,6.803675832739736,9.372245064919495,2.907095654872312,13.417635816095522,,1.8209900487336994
9,10,Herzogtum Lauenburg – Stormarn-Süd,1,246277.0,196903.0,1576.0,195327.0,26.556492446000806,31.021312977724534,7.194601872756968,10.52081893440231,2.6458195743547996,17.38059766442939,,1.8005703256590229
10,11,Lübeck,1,179394.0,131455.0,1580.0,129875.0,21.76400384985563,34.12127045235804,6.5740134744947065,7.4687199230028885,3.095283926852743,21.412127045235803,,1.3767083734359962
11,12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,13,214853.0,156565.0,2957.0,153608.0,20.672100411436904,29.41838966720483,16.531040049997394,7.661710327587105,11.656944950783814,7.851804593510754,,2.3123795635643978
12,13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,13,205042.0,146362.0,2316.0,144046.0,18.19418796773253,35.22208183496938,17.188953528733876,7.1657664912597365,10.377934826374908,5.66693972758702,,2.451300279077517
13,14,Rostock – Landkreis Rostock II,13,222705.0,165329.0,2319.0,163010.0,16.975645665910065,26.95049383473406,12.196797742469787,7.509968713575854,18.22894300963131,10.15643212072879,,1.307281761855101
14,15,Vorpommern-Rügen – Vorpommern-Greifswald I,13,241066.0,168922.0,2769.0,166153.0,20.404687246092458,24.332392433479985,19.87625862909487,6.623413359975444,13.702430892009174,7.3420281306988135,,1.104403772426619
15,16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,13,221421.0,154240.0,3572.0,150668.0,20.695834550136723,24.817479491331934,24.289829293546074,7.410332651923435,10.753444659781772,4.056601269015318,,1.6380386014283062
16,17,Mecklenburgische Seenplatte II – Landkreis Rostock III,13,209348.0,143622.0,3021.0,140601.0,21.30141321896715,31.102196997176407,21.56456924203953,6.987859261313931,10.308603779489477,5.386163683046351,,3.0326953577855065
17,18,Hamburg-Mitte,2,242078.0,179637.0,1439.0,178198.0,13.036622184311833,33.23774677605809,4.862007429937485,8.094366940145232,9.0882052548289,25.996924769077097,,0.7519725249441632
18,19,Hamburg-Altona,2,187705.0,152720.0,837.0,151883.0,16.750393394915825,28.592403363115032,3.417762356550766,8.15101097555355,9.689036956078034,29.669548270708372,,0.4977515587656288
19,20,Hamburg-Eimsbüttel,2,193823.0,160970.0,931.0,160039.0,17.159567355457106,29.602159473628305,3.405419928892332,8.096151563056505,7.092646167496673,29.826479795549837,,0.6235979979879904
20,21,Hamburg-Nord,2,219909.0,185457.0,1234.0,184223.0,23.813530340945483,30.72037693447615,3.397512796990604,8.568962615960004,4.936951412147235,25.71611579444478,,0.835943394690131
21,22,Hamburg-Wandsbek,2,233483.0,174014.0,1678.0,172336.0,19.197962120508773,38.654721010119765,6.6672082443598555,9.14202488162659,6.167602822393464,15.434383994058118,,
22,23,Hamburg-Bergedorf – Harburg,2,221794.0,158246.0,1601.0,156645.0,16.906380669667083,39.31820358134635,8.154744805132625,8.49117431134093,6.716460787130135,15.46873503782438,,1.3463564109930097
23,24,Aurich – Emden,3,191846.0,137847.0,2286.0,135561.0,17.718222792691112,52.81460006934148,,8.70309307249135,3.5858395851314167,9.3330677702289,,3.101924594831847
24,25,Unterems,3,238506.0,175826.0,2079.0,173747.0,44.39961553293006,28.455167571238636,7.818264488019937,6.194639331902133,2.5082447466718847,9.458580579808572,,
25,26,Friesland – Wilhelmshaven – Wittmund,3,189047.0,134164.0,1188.0,132976.0,22.023523041751893,45.415714113825054,7.6908615088437005,7.145650342919023,2.601973288412947,10.155215978823247,,1.9635122127301168
26,27,Oldenburg – Ammerland,3,228705.0,173725.0,1397.0,172328.0,19.900422450211224,38.15804744440834,4.974235179425282,7.461933057889605,5.909080358386333,20.379160670349567,,0.8216888723828978
27,28,Delmenhorst – Wesermarsch – Oldenburg-Land,3,226827.0,163753.0,1781.0,161972.0,24.948756575210528,36.65880522559455,7.408070530709011,10.667275825451313,3.044353345022597,13.089916775739017,,1.336650779147013
28,29,Cuxhaven – Stade II,3,188602.0,140739.0,1067.0,139672.0,30.13130763503064,36.812675410962825,7.3221547625866314,6.8889970788704975,1.9288046279855662,11.017956354888597,,1.5049544647459763
29,30,Stade I – Rotenburg II,3,198576.0,151821.0,1188.0,150633.0,34.56679479264172,31.7081914321563,7.126592446542259,7.978995306473349,2.8811747757795434,13.22618549720181,,
30,31,Mittelems,3,233253.0,180543.0,1330.0,179213.0,40.467488407649,29.18817273300486,5.018051145843215,9.745944769631668,2.229748957943899,12.589488485768333,,
31,32,Cloppenburg – Vechta,3,223948.0,164507.0,1321.0,163186.0,49.1059282046254,20.727881068228893,7.766597624796246,8.822448004118,2.1705293346242938,10.641844275856997,,
32,33,Diepholz – Nienburg I,3,194371.0,146954.0,1460.0,145494.0,33.75809311724195,31.929151717596604,6.655257261467827,9.396263763454163,2.769186358200338,13.54145188117723,,
33,34,Osterholz – Verden,3,197490.0,151308.0,1927.0,149381.0,33.65488248170785,32.51685287954961,,9.2140232024153,4.267611008093398,14.68259015537451,,3.0646467756943654
34,35,Rotenburg I – Heidekreis,3,168927.0,125100.0,934.0,124166.0,26.35181933862732,47.62253757067152,7.394939033229708,5.922716363577791,2.4241740895253128,8.081922587503826,,2.2018910168645203
35,36,Harburg,3,201740.0,161635.0,1122.0,160513.0,29.10106969528948,31.00870334490041,6.857388498127877,8.968120962165058,2.6353005675552756,15.026820257549234,,2.189853781313663
