,District_Number,Area,Belongs_To,Eligible_First_Votes_Final,Eligible_Second_Votes_Final,Voters_First_Votes_Final,Voters_Second_Votes_Final,Invalid_First_Votes_Final,Invalid_Second_Votes_Final,Valid_First_Votes_Final,Valid_Second_Votes_Final,CDU_First_Votes_Final,CDU_Second_Votes_Final,SPD_First_Votes_Final,SPD_Second_Votes_Final,AfD_First_Votes_Final,AfD_Second_Votes_Final,FDP_First_Votes_Final,FDP_Second_Votes_Final,Left_First_Votes_Final,Left_Second_Votes_Final,Greens_First_Votes_Final,Greens_Second_Votes_Final,CSU_First_Votes_Final,CSU_Second_Votes_Final,FW_First_Votes_Final,FW_Second_Votes_Final
0,1,Flensburg – Schleswig,1,231536.0,231536.0,180112.0,180112.0,1537.0,1487.0,178575.0,178625.0,41721.0,36421.0,38927.0,45508.0,9768.0,10317.0,12299.0,19189.0,6544.0,7475.0,50231.0,33300.0,,,2324.0,1715.0
1,2,Nordfriesland – Dithmarschen Nord,1,188267.0,188267.0,145387.0,145387.0,1337.0,1242.0,144050.0,144145.0,43745.0,35511.0,40026.0,37926.0,8274.0,8798.0,13958.0,18350.0,4060.0,4437.0,20611.0,22588.0,,,1510.0,1081.0
2,3,Steinburg – Dithmarschen Süd,1,176899.0,176899.0,136299.0,136299.0,1319.0,1190.0,134980.0,135109.0,39431.0,32842.0,39379.0,37468.0,10429.0,11303.0,19315.0,18492.0,4339.0,4524.0,16686.0,19237.0,,,2566.0,1713.0
3,4,Rendsburg-Eckernförde,1,202226.0,202226.0,162060.0,162060.0,1410.0,1105.0,160650.0,160955.0,47688.0,38517.0,49474.0,43148.0,10200.0,10564.0,12903.0,19322.0,4416.0,5163.0,23832.0,28828.0,,,1651.0,1174.0
4,5,Kiel,1,202482.0,202482.0,155986.0,155986.0,1170.0,918.0,154816.0,155068.0,28416.0,23920.0,45709.0,40338.0,7147.0,7654.0,11445.0,16110.0,7275.0,9430.0,43532.0,44089.0,,,1144.0,954.0
5,6,Plön – Neumünster,1,174908.0,174908.0,133721.0,133721.0,1759.0,1194.0,131962.0,132527.0,36870.0,30290.0,41497.0,38670.0,9404.0,9741.0,12420.0,15901.0,3718.0,4232.0,20740.0,23051.0,,,2386.0,1275.0
6,7,Pinneberg,1,238388.0,238388.0,191512.0,191512.0,1443.0,1242.0,190069.0,190270.0,49710.0,42057.0,59298.0,55693.0,12141.0,13080.0,20737.0,25663.0,5659.0,6363.0,32109.0,34291.0,,,2380.0,1731.0
7,8,Segeberg – Stormarn-Mitte,1,249202.0,249202.0,199618.0,199618.0,1700.0,1353.0,197918.0,198265.0,55265.0,44285.0,63369.0,56658.0,14040.0,14527.0,20575.0,27675.0,6202.0,6468.0,27109.0,33361.0,,,4670.0,2297.0
8,9,Ostholstein – Stormarn-Nord,1,183138.0,183138.0,143092.0,143092.0,1301.0,1126.0,141791.0,141966.0,42991.0,35564.0,47714.0,42520.0,9647.0,10073.0,13289.0,17986.0,4122.0,4036.0,19025.0,22314.0,,,2582.0,1603.0
9,10,Herzogtum Lauenburg – Stormarn-Süd,1,246277.0,246277.0,196903.0,196903.0,1576.0,1316.0,195327.0,195587.0,51872.0,45364.0,60593.0,56422.0,14053.0,14682.0,20550.0,27725.0,5168.0,6325.0,33949.0,32475.0,,,3517.0,2204.0
10,11,Lübeck,1,179394.0,179394.0,131455.0,131455.0,1580.0,1218.0,129875.0,130237.0,28266.0,23628.0,44315.0,39704.0,8538.0,8827.0,9700.0,13626.0,4020.0,5785.0,27809.0,29229.0,,,1788.0,1296.0
