,District_Number,Area,Belongs_To,Eligible_Second_Votes_Final,Voters_Second_Votes_Final,Invalid_Second_Votes_Final,Valid_Second_Votes_Final,CDU_Second_Votes_Final,SPD_Second_Votes_Final,AfD_Second_Votes_Final,FDP_Second_Votes_Final,Left_Second_Votes_Final,Greens_Second_Votes_Final,CSU_Second_Votes_Final,FW_Second_Votes_Final
0,1,Flensburg – Schleswig,1,231536.0,180112.0,1487.0,178625.0,20.38964310706788,25.476836948915327,5.775787263820853,10.74261721483555,4.184744576627012,18.642407277816655,,0.9601119664100769
1,2,Nordfriesland – Dithmarschen Nord,1,188267.0,145387.0,1242.0,144145.0,24.635609976065766,26.311006278400225,6.103576260015956,12.73023691421832,3.0781504734815637,15.670331957404002,,0.7499392972354226
2,3,Steinburg – Dithmarschen Süd,1,176899.0,136299.0,1190.0,135109.0,24.30778112486955,27.73168330755168,8.365837953060122,13.686727013004315,3.348407582026364,14.238133655048888,,1.2678652051306722
3,4,Rendsburg-Eckernförde,1,202226.0,162060.0,1105.0,160955.0,23.930291075145227,26.807492777484388,6.563325152993073,12.004597558323756,3.2077288683172314,17.910596129352925,,0.7293964151470907
4,5,Kiel,1,202482.0,155986.0,918.0,155068.0,15.425490752444091,26.01310392859907,4.935899089431733,10.388990636365982,6.08120308509815,28.432042716743624,,0.6152139706451364
5,6,Plön – Neumünster,1,174908.0,133721.0,1194.0,132527.0,22.855719966497393,29.178959759143417,7.350200336535197,11.998309778384781,3.1933115516083515,17.39343680910305,,0.9620681068763346
6,7,Pinneberg,1,238388.0,191512.0,1242.0,190270.0,22.103852420244916,29.270510327429445,6.874441583013612,13.487675408629842,3.3441950911862093,18.022284122562674,,0.9097598149997372
7,8,Segeberg – Stormarn-Mitte,1,249202.0,199618.0,1353.0,198265.0,22.336267117242077,28.57690464781984,7.327062265150178,13.95859077497289,3.262300456459789,16.826469623988096,,1.1585504249363225
8,9,Ostholstein – Stormarn-Nord,1,183138.0,143092.0,1126.0,141966.0,25.05106856571292,29.950833298113633,7.095360861051238,12.66923066086246,2.8429342236873616,15.717847935421156,,1.1291435977628446
9,10,Herzogtum Lauenburg – Stormarn-Süd,1,246277.0,196903.0,1316.0,195587.0,23.193770547122252,28.847520540731235,7.506633876484633,14.175277497993221,3.233855010813602,16.603864265007388,,1.1268642598945737
